episode,total_reward,episode_length,is_success,curriculum_radius,consecutive_successes,final_joint_angles,target_pos
138,2244.696716,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.06178597, 0.5276366 , 1.0265003 ]"
139,645.810324,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.12823401,0.2792058 ,0.59599334]"
140,784.280049,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.09632908, 0.3837103 , 1.1976695 ]"
141,595.261,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.25241846, 0.2741748 , 0.58102804]"
142,474.894456,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.03452621, 0.13932396, 0.56216246]"
143,438.707012,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.20622124,0.18012083,0.62420946]"
144,1325.77768,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.16998406,0.41615388,0.8601058 ]"
145,537.582368,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.17888592, 0.17909174, 0.60530573]"
146,417.035627,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.19960594,0.1849465 ,0.5899956 ]"
147,779.379092,250,0,0.148790967464447,0,"[ 2.0857   , 1.562    , 2.0857   ,-0.0087   , 1.7241004]","[0.03666338,0.27224958,0.6201912 ]"
148,661.12236,250,0,0.148790967464447,0,"[ 2.0857  , 1.562   , 2.0857  ,-0.0087  ,-1.499866]","[0.15140295,0.2734418 ,0.6677286 ]"
149,1792.591503,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.13231882, 0.47362435, 1.0326784 ]"
150,908.869329,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.03731078, 0.3138045 , 0.6287163 ]"
151,528.773533,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.3132023 ,0.26745713,0.7698948 ]"
152,507.05799,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.2415449 ,0.17899548,0.93749034]"
153,859.682264,250,0,0.148790967464447,0,"[ 2.0857   , 1.562    , 2.0857   ,-0.0087   , 1.7528127]","[0.14315772,0.3103159 ,0.6675156 ]"
154,1419.833737,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.14569551,0.4054582 ,0.8087836 ]"
155,3442.422338,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.09511079, 0.55376005, 0.87429476]"
156,1242.371037,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.01770672,0.40387523,0.6264178 ]"
157,983.458886,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.22990376, 0.3609603 , 0.65761155]"
158,3410.592716,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.08248504, 0.5434725 , 0.89636385]"
159,947.213856,250,0,0.148790967464447,0,"[ 2.0857   , 1.562    , 2.0857   ,-0.0087   , 1.7747307]","[0.21831366,0.3638674 ,0.87776214]"
160,2293.136792,250,0,0.148790967464447,0,"[ 2.0857   , 1.562    , 2.0857   ,-0.0087   , 1.7239003]","[0.09996429,0.50442904,0.8945448 ]"
161,785.703599,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.33258554, 0.31131068, 0.84522545]"
162,817.860444,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.21480525, 0.4204195 , 1.1770766 ]"
163,530.376779,250,0,0.148790967464447,0,"[ 2.0857   , 1.562    , 2.0857   ,-0.0087   , 1.4616086]","[0.2756856 ,0.24789305,1.0833416 ]"
164,2680.900581,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.00983134, 0.5598877 , 0.9777054 ]"
165,950.090401,250,0,0.148790967464447,0,"[ 2.0857  , 1.562   , 2.0857  ,-0.0087  , 1.777332]","[0.02351386,0.41495648,1.1627496 ]"
166,326.951094,250,0,0.148790967464447,0,"[ 2.0857   , 1.562    , 2.0857   ,-0.0087   , 1.3892182]","[0.05468374,0.09012794,0.5317011 ]"
167,360.527044,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.26134053, 0.16660309, 1.231677  ]"
168,359.591656,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.03505239, 0.04922772, 0.5431736 ]"
169,2873.15038,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[0.03297885,0.50661486,0.8293235 ]"
170,2404.173063,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.03293504, 0.5000093 , 1.0048332 ]"
171,758.023919,250,0,0.148790967464447,0,"[ 2.0857, 1.562 , 2.0857,-0.0087, 1.8239]","[-0.1806715 , 0.40060884, 1.1922835 ]"
