rollout/ep_rew_mean,rollout/success_rate,train/ent_coef,train/critic_loss,time/time_elapsed,train/actor_loss,rollout/ep_len_mean,train/n_updates,time/total_timesteps,train/learning_rate,time/fps,time/episodes,eval/mean_ep_length,eval/success_rate,eval/mean_reward
1535.5373135800005,0.03,1.2499123513975974e-08,6.038206100463867,14599,-498.7376708984375,243.65,294029,294130,2.4385865138709876e-05,20,1220,,,
1562.1546835300003,0.03,1.2499123513975974e-08,6.487762451171875,14658,-499.6505126953125,243.65,295029,295130,2.4385865138709876e-05,20,1224,,,
1571.3395305500003,0.03,1.2499123513975974e-08,5.657314300537109,14715,-494.4398193359375,243.65,296029,296130,2.4385865138709876e-05,20,1228,,,
1574.0073763300002,0.02,1.2499123513975974e-08,5.756080150604248,14773,-492.92413330078125,245.99,297029,297130,2.4385865138709876e-05,20,1232,,,
1623.05133927,0.01,1.2499123513975974e-08,6.402649879455566,14832,-499.7388610839844,247.9,298029,298130,2.4385865138709876e-05,20,1236,,,
1621.3757705799997,0.01,1.2499123513975974e-08,4.950890064239502,14892,-499.7160339355469,247.9,299029,299130,2.4385865138709876e-05,20,1240,,,
,,1.2499123513975974e-08,6.586000442504883,,-491.16094970703125,,299899,300000,2.4385865138709876e-05,,,208.2,0.2,1487.0160563999998
1637.6166470199998,0.01,1.2499123513975974e-08,6.471804618835449,14951,-507.5565185546875,247.9,300029,300130,2.4385865138709876e-05,20,1244,,,
1613.74434412,0.02,1.2499123513975974e-08,5.561262130737305,14995,-514.3181762695312,245.62,300801,300902,2.4385865138709876e-05,20,1248,,,
1582.8492113500004,0.02,1.2499123513975974e-08,7.456032752990723,15054,-510.9194030761719,245.62,301801,301902,2.4385865138709876e-05,20,1252,,,
1618.90962998,0.02,1.2499123513975974e-08,6.053980827331543,15113,-504.7757263183594,245.62,302801,302902,2.4385865138709876e-05,20,1256,,,
1641.5648688599995,0.02,1.2499123513975974e-08,6.241273403167725,15171,-500.850830078125,245.62,303801,303902,2.4385865138709876e-05,20,1260,,,
1641.6406163999993,0.02,1.2499123513975974e-08,1742.560546875,15230,-496.36083984375,245.62,304801,304902,2.4385865138709876e-05,20,1264,,,
1631.52019703,0.02,1.2499123513975974e-08,8.247598648071289,15291,-509.88885498046875,245.62,305801,305902,2.4385865138709876e-05,20,1268,,,
1621.25189686,0.02,1.2499123513975974e-08,6.401729583740234,15350,-498.33502197265625,245.62,306801,306902,2.4385865138709876e-05,19,1272,,,
1604.04516314,0.02,1.2499123513975974e-08,6.341196060180664,15409,-503.3756408691406,245.62,307801,307902,2.4385865138709876e-05,19,1276,,,
1573.04650285,0.02,1.2499123513975974e-08,7.4677581787109375,15467,-502.2658996582031,245.62,308801,308902,2.4385865138709876e-05,19,1280,,,
1582.65604475,0.02,1.2499123513975974e-08,6.548013687133789,15527,-511.49542236328125,245.62,309801,309902,2.4385865138709876e-05,19,1284,,,
1571.0435917300001,0.03,1.2499123513975974e-08,7.393341064453125,15575,-486.16796875,243.84,310623,310724,2.4385865138709876e-05,19,1288,,,
1561.35666489,0.03,1.2499123513975974e-08,6.449662208557129,15633,-489.7034912109375,243.84,311623,311724,2.4385865138709876e-05,19,1292,,,
1559.70755428,0.03,1.2499123513975974e-08,5.9645233154296875,15692,-466.7187805175781,243.84,312623,312724,2.4385865138709876e-05,19,1296,,,
1575.82939848,0.04,1.2499123513975974e-08,5.896970748901367,15737,-494.841796875,241.51,313390,313491,2.4385865138709876e-05,19,1300,,,
1538.7357708499999,0.05,1.2499123513975974e-08,5.886397361755371,15782,-492.2403259277344,239.08,314147,314248,2.4385865138709876e-05,19,1304,,,
1500.2620464300003,0.05,1.2499123513975974e-08,6.643989086151123,15841,-478.58892822265625,239.08,315147,315248,2.4385865138709876e-05,19,1308,,,
1502.0602027300001,0.06,1.2499123513975974e-08,5.269196033477783,15885,-487.50250244140625,236.62,315901,316002,2.4385865138709876e-05,19,1312,,,
1486.7815220700004,0.06,1.2499123513975974e-08,6.958611488342285,15947,-496.83685302734375,236.62,316901,317002,2.4385865138709876e-05,19,1316,,,
1485.8235634600005,0.05,1.2499123513975974e-08,6.155424118041992,16012,-498.13763427734375,238.72,317901,318002,2.4385865138709876e-05,19,1320,,,
1453.0499124700002,0.05,1.2499123513975974e-08,5.776036262512207,16083,-463.6435546875,238.72,318901,319002,2.4385865138709876e-05,19,1324,,,
1481.7755145499998,0.05,1.2499123513975974e-08,6.423531532287598,16152,-495.74993896484375,238.72,319901,320002,2.4385865138709876e-05,19,1328,,,
1456.52362839,0.05,1.2499123513975974e-08,6.269072532653809,16219,-466.2959899902344,238.72,320901,321002,2.4385865138709876e-05,19,1332,,,
1427.8525562700002,0.06,1.2499123513975974e-08,6.727999687194824,16272,-487.1687927246094,236.3,321659,321760,2.4385865138709876e-05,19,1336,,,
1424.2994972299996,0.07,1.2499123513975974e-08,6.943772315979004,16324,-489.13250732421875,234.17,322446,322547,2.4385865138709876e-05,19,1340,,,
1405.2165188,0.07,1.2499123513975974e-08,9.7677001953125,16385,-469.7308349609375,234.17,323446,323547,2.4385865138709876e-05,19,1344,,,
1404.51383489,0.06,1.2499123513975974e-08,6.622713088989258,16445,-480.2763671875,236.45,324446,324547,2.4385865138709876e-05,19,1348,,,
